2025-12-05 19:47:06 | DEBUG    | supercodex | SuperCodex called with operation: install
2025-12-05 19:47:06 | DEBUG    | supercodex | Arguments: {'verbose': False, 'quiet': False, 'install_dir': PosixPath('/home/ollie/.codex'), 'dry_run': False, 'force': False, 'yes': True, 'operation': 'install', 'components': None, 'mcp_servers': None, 'profile': 'full', 'force_overwrite': False, 'skip_validation': False, 'no_backup': False, 'skip_codex_md': False, 'func': <function run_install at 0x75b495f73320>}
2025-12-05 19:47:06 | INFO     | supercodex | Executing operation: install
2025-12-05 19:47:06 | INFO     | supercodex | Installing with full profile: ['core', 'modes', 'commands', 'mcp']
2025-12-05 19:47:06 | INFO     | supercodex | Full installation - automatically including all MCP servers: ['sequential', 'context7', 'magic', 'serena', 'morphllm', 'playwright']
2025-12-05 19:47:06 | INFO     | supercodex | Resolved component dependencies: ['core', 'modes', 'commands', 'mcp']
2025-12-05 19:47:06 | DEBUG    | supercodex | Discovered 3 .md files in /home/ollie/Tools/vibe-tools/SuperCodex_Framework/SuperCodex/Core
2025-12-05 19:47:06 | DEBUG    | supercodex | Files found: ['FLAGS.md', 'PRINCIPLES.md', 'RULES.md']
2025-12-05 19:47:06 | DEBUG    | supercodex | Found compatible MODE file: MODE_Brainstorming.md
2025-12-05 19:47:06 | DEBUG    | supercodex | Found compatible MODE file: MODE_Introspection.md
2025-12-05 19:47:06 | DEBUG    | supercodex | Found compatible MODE file: MODE_Task_Management.md
2025-12-05 19:47:06 | DEBUG    | supercodex | Found compatible MODE file: MODE_Token_Efficiency.md
2025-12-05 19:47:06 | INFO     | supercodex | Excluding incompatible MODE file: MODE_Orchestration.md (requires parallel agents)
2025-12-05 19:47:06 | INFO     | supercodex | Selected 4 Codex CLI compatible MODE files
2025-12-05 19:47:06 | INFO     | supercodex | Creating backup of existing installation...
2025-12-05 19:47:06 | INFO     | supercodex | Backup created: /home/ollie/.codex/backups/supercodex_backup_20251205_194706.tar.gz
2025-12-05 19:47:06 | INFO     | supercodex | Installing 4 components...
2025-12-05 19:47:06 | INFO     | supercodex | Installing core...
2025-12-05 19:47:06 | INFO     | supercodex | Installing SuperCodex core framework files...
2025-12-05 19:47:06 | DEBUG    | supercodex | Discovered 3 .md files in /home/ollie/Tools/vibe-tools/SuperCodex_Framework/SuperCodex/Core
2025-12-05 19:47:06 | DEBUG    | supercodex | Files found: ['FLAGS.md', 'PRINCIPLES.md', 'RULES.md']
2025-12-05 19:47:06 | INFO     | supercodex.security | [ALLOW] Codex directory installation validated: /home/ollie/.codex (PID: 178894)
2025-12-05 19:47:06 | DEBUG    | supercodex | Copying FLAGS.md to /home/ollie/.codex/FLAGS.md
2025-12-05 19:47:06 | DEBUG    | supercodex | Successfully copied FLAGS.md
2025-12-05 19:47:06 | DEBUG    | supercodex | Copying PRINCIPLES.md to /home/ollie/.codex/PRINCIPLES.md
2025-12-05 19:47:06 | DEBUG    | supercodex | Successfully copied PRINCIPLES.md
2025-12-05 19:47:06 | DEBUG    | supercodex | Copying RULES.md to /home/ollie/.codex/RULES.md
2025-12-05 19:47:06 | DEBUG    | supercodex | Successfully copied RULES.md
2025-12-05 19:47:06 | INFO     | supercodex | <CoreComponent(core)> component installed successfully (3 files)
2025-12-05 19:47:06 | INFO     | supercodex | Updated metadata with framework configuration
2025-12-05 19:47:06 | INFO     | supercodex | Updated metadata with core component registration
2025-12-05 19:47:06 | INFO     | supercodex | Created CODEX.md with default content
2025-12-05 19:47:06 | DEBUG    | supercodex | Found existing imports: set()
2025-12-05 19:47:06 | INFO     | supercodex | Adding 3 new imports to category 'Core Framework': ['FLAGS.md', 'PRINCIPLES.md', 'RULES.md']
2025-12-05 19:47:06 | INFO     | supercodex | Updated CODEX.md with 3 new imports
2025-12-05 19:47:06 | INFO     | supercodex | Updated CODEX.md with core framework imports
2025-12-05 19:47:06 | INFO     | supercodex | ✓ core v4.0.10 component installed successfully
2025-12-05 19:47:06 | INFO     | supercodex | Installing modes...
2025-12-05 19:47:06 | INFO     | supercodex | Installing SuperCodex behavioral modes...
2025-12-05 19:47:06 | DEBUG    | supercodex | Found compatible MODE file: MODE_Brainstorming.md
2025-12-05 19:47:06 | DEBUG    | supercodex | Found compatible MODE file: MODE_Introspection.md
2025-12-05 19:47:06 | DEBUG    | supercodex | Found compatible MODE file: MODE_Task_Management.md
2025-12-05 19:47:06 | DEBUG    | supercodex | Found compatible MODE file: MODE_Token_Efficiency.md
2025-12-05 19:47:06 | INFO     | supercodex | Excluding incompatible MODE file: MODE_Orchestration.md (requires parallel agents)
2025-12-05 19:47:06 | INFO     | supercodex | Selected 4 Codex CLI compatible MODE files
2025-12-05 19:47:06 | INFO     | supercodex.security | [ALLOW] Codex directory installation validated: /home/ollie/.codex (PID: 178894)
2025-12-05 19:47:06 | DEBUG    | supercodex | Copying MODE_Brainstorming.md to /home/ollie/.codex/MODE_Brainstorming.md
2025-12-05 19:47:06 | DEBUG    | supercodex | Successfully copied MODE_Brainstorming.md
2025-12-05 19:47:06 | DEBUG    | supercodex | Copying MODE_Introspection.md to /home/ollie/.codex/MODE_Introspection.md
2025-12-05 19:47:06 | DEBUG    | supercodex | Successfully copied MODE_Introspection.md
2025-12-05 19:47:06 | DEBUG    | supercodex | Copying MODE_Task_Management.md to /home/ollie/.codex/MODE_Task_Management.md
2025-12-05 19:47:06 | DEBUG    | supercodex | Successfully copied MODE_Task_Management.md
2025-12-05 19:47:06 | DEBUG    | supercodex | Copying MODE_Token_Efficiency.md to /home/ollie/.codex/MODE_Token_Efficiency.md
2025-12-05 19:47:06 | DEBUG    | supercodex | Successfully copied MODE_Token_Efficiency.md
2025-12-05 19:47:06 | INFO     | supercodex | Modes component installed successfully (4 mode files)
2025-12-05 19:47:06 | INFO     | supercodex | Updated metadata with modes component registration
2025-12-05 19:47:06 | INFO     | supercodex | Registered modes component in metadata
2025-12-05 19:47:06 | DEBUG    | supercodex | Found existing imports: {'RULES.md', 'FLAGS.md', 'PRINCIPLES.md'}
